begin_sha,end_sha,commits,additions,deletions,changed_files,total_time,begin_Dispensables,begin_Bloaters,begin_Change Preventers,begin_Couplers,begin_Object-Orientation Abusers,end_Dispensables,end_Bloaters,end_Change Preventers,end_Couplers,end_Object-Orientation Abusers,cluster,timedelta,formatted_duration
bcfebad0327d656836c782f7f20bc0f0df3665c2,19d9aa38c048aa7e5beb5406210278339ba0d017,10,223,141,8,39517000000000,940,530.0,530.0,338.0,338.0,1770.0,1016.0,1016.0,596.0,1400.0,0,0 days 10:58:37,0 days 10:58:37
4d09962a659a2b39a2580215975180e5491b1b00,2fa1e5ab3b105cf82ead0b5789ff827771bdd74b,2,128,118,3,73168000000000,939,532.0,532.0,338.0,338.0,885.0,508.0,508.0,298.0,700.0,0,0 days 20:19:28,0 days 20:19:28
9d066ea2652b984265c53e0716d6480b6b47bab0,cc1d2b3984194d22027fc119c05329e1c9e73c5f,9,1161,142,19,5446429000000000,952,568.0,568.0,362.0,362.0,885.0,508.0,508.0,298.0,699.0,0,63 days 00:53:49,63 days 00:53:49
330cec2797c9dcaa7c05dbd6efbeb58a80c4270f,6b1c62a88f1270b50fff3c445b85c9e07825fc39,1,24,2,2,93116000000000,939,532.0,532.0,339.0,339.0,885.0,508.0,508.0,296.0,703.0,0,1 days 01:51:56,1 days 01:51:56
4d09962a659a2b39a2580215975180e5491b1b00,73b339a55d0e9911c19b6931f3ce7706a2e87047,2,1,1,1,156589000000000,939,532.0,532.0,338.0,338.0,885.0,508.0,508.0,298.0,699.0,0,1 days 19:29:49,1 days 19:29:49
4be2122922b84c45cee6e845f182b0dbf4a06805,501152d3139a8ca72a2095e6cdf60edfa9340fcf,1,8,3,1,32783000000000,938,532.0,532.0,339.0,339.0,885.0,508.0,508.0,296.0,704.0,0,0 days 09:06:23,0 days 09:06:23
d2e3e7580dff33a262796a95d95f17660aad6f8c,4afa68e4605dd3b0c9692877a1e9ddf85ce7a740,4,128,15,7,1230070000000000,938,532.0,532.0,339.0,339.0,885.0,508.0,508.0,296.0,703.0,0,14 days 05:41:10,14 days 05:41:10
d2e3e7580dff33a262796a95d95f17660aad6f8c,cafb372799260581132cc694ac44a0f6b768db9a,3,25,4,1,43413000000000,938,532.0,532.0,339.0,339.0,885.0,508.0,508.0,296.0,703.0,0,0 days 12:03:33,0 days 12:03:33
d2e3e7580dff33a262796a95d95f17660aad6f8c,170222e378745128b47a4e92e796166b84f379dc,10,144,171,10,219498000000000,938,532.0,532.0,339.0,339.0,886.0,508.0,508.0,297.0,698.0,0,2 days 12:58:18,2 days 12:58:18
d2e3e7580dff33a262796a95d95f17660aad6f8c,8b9d1a852bb6feb3e2626a78fd74559cd6d8b3f9,5,5,3,2,919560000000000,938,532.0,532.0,339.0,339.0,916.0,504.0,504.0,295.0,720.0,0,10 days 15:26:00,10 days 15:26:00
45362b15f0edab62237f4e19ce22e60dc26d3d9a,47a68f8751404664f19be617a789d1fe84b8472a,2,56,23,3,279151000000000,939,534.0,534.0,349.0,349.0,1832.0,1008.0,1008.0,590.0,1440.0,0,3 days 05:32:31,3 days 05:32:31
43caa56e18c4654cd3b58452152b14f3056c0376,d2e3e7580dff33a262796a95d95f17660aad6f8c,1,4,2,2,86581000000000,939,534.0,534.0,349.0,349.0,918.0,502.0,502.0,295.0,714.0,0,1 days 00:03:01,1 days 00:03:01
bd900ae9db8abf819b28a29551cff87259700afc,cdbe91dd8fa74c87decdd2ff0b7d79b763047d08,1,60,12,2,17069000000000,940,533.0,533.0,349.0,349.0,915.0,501.0,501.0,294.0,717.0,0,0 days 04:44:29,0 days 04:44:29
b4264b71105dd5f732bbbee7bc3ccabfe2086fba,7563f349ff6618e5743561bf45b6dd07ed39df05,1,52,52,50,162608000000000,970,527.0,527.0,348.0,348.0,915.0,503.0,503.0,295.0,720.0,0,1 days 21:10:08,1 days 21:10:08
e7d57b9f911ca9878f2255cf79d8b23b9c2562f3,88c0a6621a0a55c2fa4dc400c01346fbf02e27a0,1,29,4,2,98347000000000,1944,1066.0,1066.0,698.0,698.0,915.0,507.0,507.0,317.0,699.0,0,1 days 03:19:07,1 days 03:19:07
2094661e52ff6be15dbccc9bdc1845ccda7ca306,c7de8d5871209a86e79f8422c6334697b32f113a,11,355,21,19,2466403000000000,991,557.0,557.0,351.0,351.0,917.0,502.0,502.0,319.0,705.0,0,28 days 13:06:43,28 days 13:06:43
5d5d370de3cd4ba9e8b3fa88d69e33f7deaf8d57,097594f06b3ddc96e50f4e1164745b23393640fd,1,29,29,24,59829000000000,971,521.0,521.0,349.0,349.0,916.0,502.0,502.0,295.0,717.0,0,0 days 16:37:09,0 days 16:37:09
4748fb97269526ecf67138fcd406ad380932e3ca,5d5d370de3cd4ba9e8b3fa88d69e33f7deaf8d57,1,247,5,6,13743000000000,971,521.0,521.0,349.0,349.0,900.0,502.0,502.0,294.0,719.0,0,0 days 03:49:03,0 days 03:49:03
